Country,Class,KWh/m^2/day,Avg DHI,,KWh/m^2/day,Class,Capacity Factor
Namibia,2,3-3.5,3.25,,,,
Namibia,3,3.5-4,3.75,,,,
Namibia,4,4-4.5,4.25,,,,
Namibia,5,4.5-5,4.75,,,,
Namibia,6,5-6.25,5.625,,,,
Namibia,7,6.25-7.25,6.75,,,,
Namibia,8,7.25-7.5,7.375,,,,
Namibia,9,7.5-7.75,7.625,,,,
Nauru,7,6.25-7.25,6.75,,,,
Nepal,1,<=3,2,,,,
Nepal,10,>7.75,9,,,,
Nepal,2,3-3.5,3.25,,,,
Nepal,3,3.5-4,3.75,,,,
Nepal,4,4-4.5,4.25,,,,
Nepal,5,4.5-5,4.75,,,,
Nepal,6,5-6.25,5.625,,,,
Nepal,7,6.25-7.25,6.75,,,,
Nepal,9,7.5-7.75,7.625,,,,
Netherlands Antilles,5,4.5-5,4.75,,,,
Netherlands Antilles,6,5-6.25,5.625,,,,
Netherlands,1,<=3,2,,,,
Netherlands,2,3-3.5,3.25,,,,
Netherlands,3,3.5-4,3.75,,,,
Netherlands,4,4-4.5,4.25,,,,
New Caledonia,6,5-6.25,5.625,,,,
New Caledonia,7,6.25-7.25,6.75,,,,
New Zealand,1,<=3,2,,,,
New Zealand,2,3-3.5,3.25,,,,
New Zealand,3,3.5-4,3.75,,,,
New Zealand,4,4-4.5,4.25,,,,
New Zealand,5,4.5-5,4.75,,,,
New Zealand,6,5-6.25,5.625,,,,
Nicaragua,1,<=3,2,,,,
Nicaragua,2,3-3.5,3.25,,,,
Nicaragua,3,3.5-4,3.75,,,,
Nicaragua,4,4-4.5,4.25,,,,
Nicaragua,5,4.5-5,4.75,,,,
Nicaragua,6,5-6.25,5.625,,,,
Nicaragua,7,6.25-7.25,6.75,,,,
Niger,3,3.5-4,3.75,,,,
Niger,4,4-4.5,4.25,,,,
Niger,5,4.5-5,4.75,,,,
Niger,6,5-6.25,5.625,,,,
Niger,7,6.25-7.25,6.75,,,,
Nigeria,1,<=3,2,,,,
Nigeria,2,3-3.5,3.25,,,,
Nigeria,3,3.5-4,3.75,,,,
Nigeria,4,4-4.5,4.25,,,,
Nigeria,5,4.5-5,4.75,,,,
Nigeria,6,5-6.25,5.625,,,,
Niue,6,5-6.25,5.625,,,,
Norfolk I.,6,5-6.25,5.625,,,,
North Korea,1,<=3,2,,,,
North Korea,2,3-3.5,3.25,,,,
North Korea,3,3.5-4,3.75,,,,
North Korea,4,4-4.5,4.25,,,,
North Korea,5,4.5-5,4.75,,,,
North Korea,6,5-6.25,5.625,,,,
Northern Mariana Is.,7,6.25-7.25,6.75,,,,
Norway,1,<=3,2,,,,
Norway,2,3-3.5,3.25,,,,
Norway,3,3.5-4,3.75,,,,
Norway,4,4-4.5,4.25,,,,
Oman,4,4-4.5,4.25,,,,
Oman,5,4.5-5,4.75,,,,
Oman,6,5-6.25,5.625,,,,
Oman,7,6.25-7.25,6.75,,,,
Oman,9,7.5-7.75,7.625,,,,
Pakistan,1,<=3,2,,,,
Pakistan,2,3-3.5,3.25,,,,
Pakistan,3,3.5-4,3.75,,,,
Pakistan,4,4-4.5,4.25,,,,
Pakistan,5,4.5-5,4.75,,,,
Pakistan,6,5-6.25,5.625,,,,
Pakistan,7,6.25-7.25,6.75,,,,
Pakistan,8,7.25-7.5,7.375,,,,
Pakistan,9,7.5-7.75,7.625,,,,
Palau,6,5-6.25,5.625,,,,
Panama,2,3-3.5,3.25,,,,
Panama,3,3.5-4,3.75,,,,
Panama,4,4-4.5,4.25,,,,
Panama,5,4.5-5,4.75,,,,
Papua New Guinea,2,3-3.5,3.25,,,,
Papua New Guinea,3,3.5-4,3.75,,,,
Papua New Guinea,4,4-4.5,4.25,,,,
Papua New Guinea,5,4.5-5,4.75,,,,
Papua New Guinea,6,5-6.25,5.625,,,,
Paraguay,5,4.5-5,4.75,,,,
Paraguay,6,5-6.25,5.625,,,,
Peru,1,<=3,2,,,,
Peru,2,3-3.5,3.25,,,,
Peru,3,3.5-4,3.75,,,,
Peru,4,4-4.5,4.25,,,,
Peru,5,4.5-5,4.75,,,,
Peru,6,5-6.25,5.625,,,,
Peru,7,6.25-7.25,6.75,,,,
Peru,8,7.25-7.5,7.375,,,,
Philippines,1,<=3,2,,,,
Philippines,2,3-3.5,3.25,,,,
Philippines,3,3.5-4,3.75,,,,
Philippines,4,4-4.5,4.25,,,,
Philippines,5,4.5-5,4.75,,,,
Philippines,6,5-6.25,5.625,,,,
Philippines,7,6.25-7.25,6.75,,,,
Pitcairn Is.,6,5-6.25,5.625,,,,
Poland,1,<=3,2,,,,
Poland,2,3-3.5,3.25,,,,
Poland,3,3.5-4,3.75,,,,
Poland,4,4-4.5,4.25,,,,
Poland,5,4.5-5,4.75,,,,
Portugal,10,>7.75,9,,,,
Portugal,2,3-3.5,3.25,,,,
Portugal,3,3.5-4,3.75,,,,
Portugal,4,4-4.5,4.25,,,,
Portugal,5,4.5-5,4.75,,,,
Portugal,6,5-6.25,5.625,,,,
Portugal,7,6.25-7.25,6.75,,,,
Portugal,8,7.25-7.5,7.375,,,,
Portugal,9,7.5-7.75,7.625,,,,
Puerto Rico,5,4.5-5,4.75,,,,
Puerto Rico,6,5-6.25,5.625,,,,
Puerto Rico,7,6.25-7.25,6.75,,,,
Qatar,6,5-6.25,5.625,,,,
Qatar,7,6.25-7.25,6.75,,,,
Qatar,8,7.25-7.5,7.375,,,,
Reunion,3,3.5-4,3.75,,,,
Reunion,4,4-4.5,4.25,,,,
Reunion,5,4.5-5,4.75,,,,
Reunion,6,5-6.25,5.625,,,,
Romania,4,4-4.5,4.25,,,,
Romania,5,4.5-5,4.75,,,,
Romania,6,5-6.25,5.625,,,,
Russia,1,<=3,2,,,,
Russia,2,3-3.5,3.25,,,,
Russia,3,3.5-4,3.75,,,,
Russia,4,4-4.5,4.25,,,,
Russia,5,4.5-5,4.75,,,,
Russia,6,5-6.25,5.625,,,,
Russia,7,6.25-7.25,6.75,,,,
Rwanda,1,<=3,2,,,,
Rwanda,2,3-3.5,3.25,,,,
Rwanda,3,3.5-4,3.75,,,,
Samoa,6,5-6.25,5.625,,,,
San Marino,6,5-6.25,5.625,,,,
Sao Tome & Principe,1,<=3,2,,,,
Saudi Arabia,10,>7.75,9,,,,
Saudi Arabia,2,3-3.5,3.25,,,,
Saudi Arabia,3,3.5-4,3.75,,,,
Saudi Arabia,4,4-4.5,4.25,,,,
Saudi Arabia,5,4.5-5,4.75,,,,
Saudi Arabia,6,5-6.25,5.625,,,,
Saudi Arabia,7,6.25-7.25,6.75,,,,
Saudi Arabia,8,7.25-7.5,7.375,,,,
Saudi Arabia,9,7.5-7.75,7.625,,,,
Senegal,1,<=3,2,,,,
Senegal,2,3-3.5,3.25,,,,
Senegal,3,3.5-4,3.75,,,,
Senegal,4,4-4.5,4.25,,,,
Serbia,5,4.5-5,4.75,,,,
Serbia,6,5-6.25,5.625,,,,
Seychelles,3,3.5-4,3.75,,,,
Seychelles,4,4-4.5,4.25,,,,
Sierra Leone,1,<=3,2,,,,
Sierra Leone,2,3-3.5,3.25,,,,
Singapore,3,3.5-4,3.75,,,,
Slovakia,3,3.5-4,3.75,,,,
Slovakia,4,4-4.5,4.25,,,,
Slovakia,5,4.5-5,4.75,,,,
Slovenia,4,4-4.5,4.25,,,,
Slovenia,5,4.5-5,4.75,,,,
Slovenia,6,5-6.25,5.625,,,,
Solomon Is.,4,4-4.5,4.25,,,,
Solomon Is.,5,4.5-5,4.75,,,,
Solomon Is.,6,5-6.25,5.625,,,,
Somalia,3,3.5-4,3.75,,,,
Somalia,4,4-4.5,4.25,,,,
Somalia,5,4.5-5,4.75,,,,
Somalia,6,5-6.25,5.625,,,,
Somalia,7,6.25-7.25,6.75,,,,
South Africa,1,<=3,2,,,,
South Africa,10,>7.75,9,,,,
South Africa,3,3.5-4,3.75,,,,
South Africa,4,4-4.5,4.25,,,,
South Africa,5,4.5-5,4.75,,,,
South Africa,6,5-6.25,5.625,,,,
South Africa,7,6.25-7.25,6.75,,,,
South Africa,8,7.25-7.5,7.375,,,,
South Africa,9,7.5-7.75,7.625,,,,
South Georgia & the South Sandwich Is.,1,<=3,2,,,,
South Korea,1,<=3,2,,,,
South Korea,2,3-3.5,3.25,,,,
South Korea,3,3.5-4,3.75,,,,
South Korea,4,4-4.5,4.25,,,,
South Korea,5,4.5-5,4.75,,,,
South Korea,6,5-6.25,5.625,,,,
Spain,10,>7.75,9,,,,
Spain,2,3-3.5,3.25,,,,
Spain,3,3.5-4,3.75,,,,
Spain,4,4-4.5,4.25,,,,
Spain,5,4.5-5,4.75,,,,
Spain,6,5-6.25,5.625,,,,
Spain,7,6.25-7.25,6.75,,,,
Spain,8,7.25-7.5,7.375,,,,
Spain,9,7.5-7.75,7.625,,,,
Sri Lanka,1,<=3,2,,,,
Sri Lanka,2,3-3.5,3.25,,,,
Sri Lanka,3,3.5-4,3.75,,,,
Sri Lanka,4,4-4.5,4.25,,,,
Sri Lanka,5,4.5-5,4.75,,,,
Sri Lanka,6,5-6.25,5.625,,,,
St. Helena,3,3.5-4,3.75,,,,
St. Helena,6,5-6.25,5.625,,,,
St. Kitts & Nevis,4,4-4.5,4.25,,,,
St. Lucia,3,3.5-4,3.75,,,,
St. Lucia,4,4-4.5,4.25,,,,
St. Pierre & Miquelon,2,3-3.5,3.25,,,,
St. Vincent & the Grenadines,3,3.5-4,3.75,,,,
St. Vincent & the Grenadines,4,4-4.5,4.25,,,,
Sudan,1,<=3,2,,,,
Sudan,2,3-3.5,3.25,,,,
Sudan,3,3.5-4,3.75,,,,
Sudan,4,4-4.5,4.25,,,,
Sudan,5,4.5-5,4.75,,,,
Sudan,6,5-6.25,5.625,,,,
Sudan,7,6.25-7.25,6.75,,,,
Sudan,8,7.25-7.5,7.375,,,,
Sudan,9,7.5-7.75,7.625,,,,
Suriname,4,4-4.5,4.25,,,,
Suriname,5,4.5-5,4.75,,,,
Suriname,7,6.25-7.25,6.75,,,,
Svalbard,1,<=3,2,,,,
Swaziland,5,4.5-5,4.75,,,,
Swaziland,6,5-6.25,5.625,,,,
Sweden,1,<=3,2,,,,
Sweden,2,3-3.5,3.25,,,,
Sweden,3,3.5-4,3.75,,,,
Sweden,4,4-4.5,4.25,,,,
Switzerland,4,4-4.5,4.25,,,,
Switzerland,5,4.5-5,4.75,,,,
Switzerland,6,5-6.25,5.625,,,,
Switzerland,7,6.25-7.25,6.75,,,,
Syria,3,3.5-4,3.75,,,,
Syria,4,4-4.5,4.25,,,,
Syria,5,4.5-5,4.75,,,,
Syria,6,5-6.25,5.625,,,,
Syria,7,6.25-7.25,6.75,,,,
Syria,8,7.25-7.5,7.375,,,,
Tajikistan,1,<=3,2,,,,
Tajikistan,2,3-3.5,3.25,,,,
Tajikistan,3,3.5-4,3.75,,,,
Tajikistan,4,4-4.5,4.25,,,,
Tajikistan,5,4.5-5,4.75,,,,
Tajikistan,6,5-6.25,5.625,,,,
Tajikistan,7,6.25-7.25,6.75,,,,
Tanzania,1,<=3,2,,,,
Tanzania,2,3-3.5,3.25,,,,
Tanzania,3,3.5-4,3.75,,,,
Tanzania,4,4-4.5,4.25,,,,
Tanzania,5,4.5-5,4.75,,,,
Tanzania,6,5-6.25,5.625,,,,
Tanzania,7,6.25-7.25,6.75,,,,
Thailand,2,3-3.5,3.25,,,,
Thailand,3,3.5-4,3.75,,,,
Thailand,4,4-4.5,4.25,,,,
Thailand,5,4.5-5,4.75,,,,
Thailand,6,5-6.25,5.625,,,,
Bahamas,4,4-4.5,4.25,,,,
Bahamas,5,4.5-5,4.75,,,,
Bahamas,6,5-6.25,5.625,,,,
Gambia,2,3-3.5,3.25,,,,
Gambia,3,3.5-4,3.75,,,,
Gambia,4,4-4.5,4.25,,,,
East Timor,6,5-6.25,5.625,,,,
East Timor,7,6.25-7.25,6.75,,,,
East Timor,8,7.25-7.5,7.375,,,,
Togo,1,<=3,2,,,,
Togo,2,3-3.5,3.25,,,,
Togo,3,3.5-4,3.75,,,,
Togo,4,4-4.5,4.25,,,,
Togo,5,4.5-5,4.75,,,,
Tokelau,6,5-6.25,5.625,,,,
Tonga,6,5-6.25,5.625,,,,
Trinidad & Tobago,3,3.5-4,3.75,,,,
Trinidad & Tobago,4,4-4.5,4.25,,,,
Trinidad & Tobago,5,4.5-5,4.75,,,,
Tunisia,3,3.5-4,3.75,,,,
Tunisia,4,4-4.5,4.25,,,,
Tunisia,5,4.5-5,4.75,,,,
Tunisia,6,5-6.25,5.625,,,,
Tunisia,7,6.25-7.25,6.75,,,,
Tunisia,8,7.25-7.5,7.375,,,,
Tunisia,9,7.5-7.75,7.625,,,,
Turkey,1,<=3,2,,,,
Turkey,2,3-3.5,3.25,,,,
Turkey,3,3.5-4,3.75,,,,
Turkey,4,4-4.5,4.25,,,,
Turkey,5,4.5-5,4.75,,,,
Turkey,6,5-6.25,5.625,,,,
Turkey,7,6.25-7.25,6.75,,,,
Turkey,8,7.25-7.5,7.375,,,,
Turkmenistan,3,3.5-4,3.75,,,,
Turkmenistan,4,4-4.5,4.25,,,,
Turkmenistan,5,4.5-5,4.75,,,,
Turkmenistan,6,5-6.25,5.625,,,,
Turks & Caicos Is.,6,5-6.25,5.625,,,,
Tuvalu,5,4.5-5,4.75,,,,
Uganda,1,<=3,2,,,,
Uganda,2,3-3.5,3.25,,,,
Uganda,3,3.5-4,3.75,,,,
Uganda,4,4-4.5,4.25,,,,
Uganda,5,4.5-5,4.75,,,,
Uganda,6,5-6.25,5.625,,,,
Uganda,7,6.25-7.25,6.75,,,,
Ukraine,2,3-3.5,3.25,,,,
Ukraine,3,3.5-4,3.75,,,,
Ukraine,4,4-4.5,4.25,,,,
Ukraine,5,4.5-5,4.75,,,,
Ukraine,6,5-6.25,5.625,,,,
United Arab Emirates,10,>7.75,9,,,,
United Arab Emirates,4,4-4.5,4.25,,,,
United Arab Emirates,5,4.5-5,4.75,,,,
United Arab Emirates,6,5-6.25,5.625,,,,
United Arab Emirates,7,6.25-7.25,6.75,,,,
United Arab Emirates,8,7.25-7.5,7.375,,,,
United Arab Emirates,9,7.5-7.75,7.625,,,,
United Kingdom,1,<=3,2,,,,
United Kingdom,2,3-3.5,3.25,,,,
United Kingdom,3,3.5-4,3.75,,,,
United Kingdom,4,4-4.5,4.25,,,,
United Kingdom,5,4.5-5,4.75,,,,
United States,1,<=3,2,,,,
United States,10,>7.75,9,,,,
United States,2,3-3.5,3.25,,,,
United States,3,3.5-4,3.75,,,,
United States,4,4-4.5,4.25,,,,
United States,5,4.5-5,4.75,,,,
United States,6,5-6.25,5.625,,,,
United States,7,6.25-7.25,6.75,,,,
United States,8,7.25-7.5,7.375,,,,
United States,9,7.5-7.75,7.625,,,,
Uruguay,5,4.5-5,4.75,,,,
Uruguay,6,5-6.25,5.625,,,,
Uzbekistan,2,3-3.5,3.25,,,,
Uzbekistan,3,3.5-4,3.75,,,,
Uzbekistan,4,4-4.5,4.25,,,,
Uzbekistan,5,4.5-5,4.75,,,,
Uzbekistan,6,5-6.25,5.625,,,,
Uzbekistan,7,6.25-7.25,6.75,,,,
Vanuatu,6,5-6.25,5.625,,,,
Vanuatu,7,6.25-7.25,6.75,,,,
Vatican City,6,5-6.25,5.625,,,,
Venezuela,2,3-3.5,3.25,,,,
Venezuela,3,3.5-4,3.75,,,,
Venezuela,4,4-4.5,4.25,,,,
Venezuela,5,4.5-5,4.75,,,,
Venezuela,6,5-6.25,5.625,,,,
Venezuela,7,6.25-7.25,6.75,,,,
Venezuela,8,7.25-7.5,7.375,,,,
Venezuela,9,7.5-7.75,7.625,,,,
Vietnam,1,<=3,2,,,,
Vietnam,2,3-3.5,3.25,,,,
Vietnam,3,3.5-4,3.75,,,,
Vietnam,4,4-4.5,4.25,,,,
Vietnam,5,4.5-5,4.75,,,,
Vietnam,6,5-6.25,5.625,,,,
Virgin Is.,6,5-6.25,5.625,,,,
Wake I.,7,6.25-7.25,6.75,,,,
Wallis & Futuna,6,5-6.25,5.625,,,,
West Bank,6,5-6.25,5.625,,,,
Western Sahara,2,3-3.5,3.25,,,,
Western Sahara,3,3.5-4,3.75,,,,
Western Sahara,4,4-4.5,4.25,,,,
Western Sahara,5,4.5-5,4.75,,,,
Western Sahara,6,5-6.25,5.625,,,,
Yemen,3,3.5-4,3.75,,,,
Yemen,4,4-4.5,4.25,,,,
Yemen,5,4.5-5,4.75,,,,
Yemen,6,5-6.25,5.625,,,,
Yemen,7,6.25-7.25,6.75,,,,
Yemen,8,7.25-7.5,7.375,,,,
Yemen,9,7.5-7.75,7.625,,,,
Zambia,3,3.5-4,3.75,,,,
Zambia,4,4-4.5,4.25,,,,
Zambia,5,4.5-5,4.75,,,,
Zambia,6,5-6.25,5.625,,,,
Zimbabwe,4,4-4.5,4.25,,,,
Zimbabwe,5,4.5-5,4.75,,,,
Zimbabwe,6,5-6.25,5.625,,,,
Zimbabwe,7,6.25-7.25,6.75,,,,
