1,Recorded_Data,Week,Levels
140,Binance searches in Lebanon,24/07/2022,0
141,Binance searches in Lebanon,31/07/2022,0
142,Binance searches in Lebanon,07/08/2022,0
143,Binance searches in Lebanon,14/08/2022,0
144,Binance searches in Lebanon,21/08/2022,0
145,Binance searches in Lebanon,28/08/2022,0
146,Binance searches in Lebanon,04/09/2022,0
147,Binance searches in Lebanon,11/09/2022,0
148,Binance searches in Lebanon,18/09/2022,0
149,Binance searches in Lebanon,25/09/2022,0
150,Binance searches in Lebanon,02/10/2022,0
151,Binance searches in Lebanon,09/10/2022,0
152,Binance searches in Lebanon,16/10/2022,0
153,Binance searches in Lebanon,23/10/2022,0
154,Binance searches in Lebanon,30/10/2022,0
155,Binance searches in Lebanon,06/11/2022,0
156,Binance searches in Lebanon,13/11/2022,23
157,Binance searches in Lebanon,20/11/2022,41
158,Inflation rate searches in Lebanon,01/12/2019,0
159,Inflation rate searches in Lebanon,08/12/2019,0
160,Inflation rate searches in Lebanon,15/12/2019,0
161,Inflation rate searches in Lebanon,22/12/2019,0
162,Inflation rate searches in Lebanon,29/12/2019,0
163,Inflation rate searches in Lebanon,05/01/2020,0
164,Inflation rate searches in Lebanon,12/01/2020,0
165,Inflation rate searches in Lebanon,19/01/2020,41
166,Inflation rate searches in Lebanon,26/01/2020,0
167,Inflation rate searches in Lebanon,02/02/2020,0
168,Inflation rate searches in Lebanon,09/02/2020,0
169,Inflation rate searches in Lebanon,16/02/2020,53
170,Inflation rate searches in Lebanon,23/02/2020,0
171,Inflation rate searches in Lebanon,01/03/2020,0
172,Inflation rate searches in Lebanon,08/03/2020,0
173,Inflation rate searches in Lebanon,15/03/2020,0
174,Inflation rate searches in Lebanon,22/03/2020,0
175,Inflation rate searches in Lebanon,29/03/2020,0
176,Inflation rate searches in Lebanon,05/04/2020,0
177,Inflation rate searches in Lebanon,12/04/2020,0
178,Inflation rate searches in Lebanon,19/04/2020,0
179,Inflation rate searches in Lebanon,26/04/2020,75
180,Inflation rate searches in Lebanon,03/05/2020,0
181,Inflation rate searches in Lebanon,10/05/2020,79
182,Inflation rate searches in Lebanon,17/05/2020,72
183,Inflation rate searches in Lebanon,24/05/2020,0
184,Inflation rate searches in Lebanon,31/05/2020,0
185,Inflation rate searches in Lebanon,07/06/2020,0
186,Inflation rate searches in Lebanon,14/06/2020,0
187,Inflation rate searches in Lebanon,21/06/2020,0
188,Inflation rate searches in Lebanon,28/06/2020,0
189,Inflation rate searches in Lebanon,05/07/2020,0
190,Inflation rate searches in Lebanon,12/07/2020,0
191,Inflation rate searches in Lebanon,19/07/2020,0
192,Inflation rate searches in Lebanon,26/07/2020,0
193,Inflation rate searches in Lebanon,02/08/2020,0
194,Inflation rate searches in Lebanon,09/08/2020,0
195,Inflation rate searches in Lebanon,16/08/2020,38
196,Inflation rate searches in Lebanon,23/08/2020,0
197,Inflation rate searches in Lebanon,30/08/2020,0
198,Inflation rate searches in Lebanon,06/09/2020,0
199,Inflation rate searches in Lebanon,13/09/2020,0
200,Inflation rate searches in Lebanon,20/09/2020,0
201,Inflation rate searches in Lebanon,27/09/2020,0
202,Inflation rate searches in Lebanon,04/10/2020,0
203,Inflation rate searches in Lebanon,11/10/2020,0
204,Inflation rate searches in Lebanon,18/10/2020,0
205,Inflation rate searches in Lebanon,25/10/2020,0
206,Inflation rate searches in Lebanon,01/11/2020,0
207,Inflation rate searches in Lebanon,08/11/2020,0
208,Inflation rate searches in Lebanon,15/11/2020,0
209,Inflation rate searches in Lebanon,22/11/2020,0
210,Inflation rate searches in Lebanon,29/11/2020,0
211,Inflation rate searches in Lebanon,06/12/2020,0
212,Inflation rate searches in Lebanon,13/12/2020,0
213,Inflation rate searches in Lebanon,20/12/2020,47
214,Inflation rate searches in Lebanon,27/12/2020,0
215,Inflation rate searches in Lebanon,03/01/2021,0
216,Inflation rate searches in Lebanon,10/01/2021,0
217,Inflation rate searches in Lebanon,17/01/2021,37
218,Inflation rate searches in Lebanon,24/01/2021,31
219,Inflation rate searches in Lebanon,31/01/2021,0
220,Inflation rate searches in Lebanon,07/02/2021,0
221,Inflation rate searches in Lebanon,14/02/2021,0
222,Inflation rate searches in Lebanon,21/02/2021,0
223,Inflation rate searches in Lebanon,28/02/2021,0
224,Inflation rate searches in Lebanon,07/03/2021,0
225,Inflation rate searches in Lebanon,14/03/2021,0
226,Inflation rate searches in Lebanon,21/03/2021,0
227,Inflation rate searches in Lebanon,28/03/2021,0
228,Inflation rate searches in Lebanon,04/04/2021,0
