Country,Year,Average Temperature per Year,Consumption Levels
Senegal,2003,28.7,128.8
Senegal,2004,28.85,141.79
Senegal,2005,28.96,161.93
Senegal,2006,28.63,161.23
Senegal,2007,28.82,186.01
Senegal,2008,28.8,162.72
Senegal,2009,28.47,194.59
Senegal,2010,29.3,205.27
Senegal,2011,28.77,206.28
Senegal,2012,28.64,218.26
Senegal,2013,29.3,218.31
Serbia,1990,11.2,4628.66
Serbia,1991,9.75,4411.48
Serbia,1992,10.98,4274.55
Serbia,1993,10.41,3479.53
Serbia,1994,11.68,3411.15
Serbia,1995,10.28,3789.99
Serbia,1996,9.82,4132.56
Serbia,1997,9.98,4291.32
Serbia,1998,10.57,4303.0
Serbia,1999,10.92,3979.36
Serbia,2000,11.79,4198.72
Serbia,2001,10.91,4434.37
Serbia,2002,11.41,4480.34
Serbia,2003,10.8,4332.68
Serbia,2004,10.62,4258.25
Serbia,2005,9.92,3921.91
Serbia,2006,10.57,4040.44
Serbia,2007,11.75,4159.14
Serbia,2008,11.67,4291.84
Serbia,2009,11.41,4224.4
Serbia,2010,10.99,4358.81
Serbia,2011,10.82,4489.57
Serbia,2012,11.45,4386.53
Serbia,2013,12.84,4444.22
Singapore,1971,26.61,1154.81
Singapore,1972,26.94,1371.03
Singapore,1973,26.96,1599.18
Singapore,1974,26.67,1634.23
Singapore,1975,26.64,1728.1
Singapore,1976,26.56,1884.62
Singapore,1977,26.82,2073.71
Singapore,1978,26.9,2368.29
Singapore,1979,26.96,2529.47
Singapore,1980,26.96,2718.37
Singapore,1981,26.98,2778.7
Singapore,1982,26.84,2814.32
Singapore,1983,27.3,3045.81
Singapore,1984,26.48,3255.59
Singapore,1985,26.82,3444.13
Singapore,1986,26.85,3693.6
Singapore,1987,27.18,4088.6
Singapore,1988,27.07,4398.99
Singapore,1989,26.79,4639.19
Singapore,1990,27.13,4983.05
Singapore,1991,26.99,5104.81
Singapore,1992,27.0,5236.64
Singapore,1993,26.93,5499.97
Singapore,1994,27.09,5842.56
Singapore,1995,27.07,6069.22
Singapore,1996,27.04,6312.69
Singapore,1997,27.39,6829.23
Singapore,1998,27.78,6965.75
Singapore,1999,27.02,7187.67
Singapore,2000,27.1,7575.44
Singapore,2001,27.19,7516.17
Singapore,2002,27.41,7756.32
Singapore,2003,27.31,8113.59
Singapore,2004,27.33,8314.33
Singapore,2005,27.49,8678.17
Singapore,2006,27.33,8720.02
Singapore,2007,27.13,8706.58
Singapore,2008,27.07,8401.05
Singapore,2009,27.47,8114.37
Singapore,2010,27.6,8679.99
Singapore,2011,27.28,8651.76
Singapore,2012,27.3,8673.99
Singapore,2013,27.6,8680.61
Slovenia,1990,10.73,5334.91
Slovenia,1991,9.76,5087.45
Slovenia,1992,10.93,4943.16
Slovenia,1993,10.35,4950.93
Slovenia,1994,11.5,5240.16
Slovenia,1995,10.29,5312.9
Slovenia,1996,9.44,5365.51
Slovenia,1997,10.38,5434.66
Slovenia,1998,10.6,5574.71
Slovenia,1999,10.69,5675.62
Slovenia,2000,11.59,5778.0
Slovenia,2001,10.89,6006.35
Slovenia,2002,11.34,6380.95
Slovenia,2003,11.01,6578.03
Slovenia,2004,10.24,6830.71
Slovenia,2005,9.8,6917.86
Slovenia,2006,10.72,7123.54
Slovenia,2007,11.46,7137.82
Slovenia,2008,11.25,6920.24
Slovenia,2009,11.24,6104.42
Slovenia,2010,10.19,6510.84
Slovenia,2011,11.21,6753.07
Slovenia,2012,11.28,6718.98
Slovenia,2013,11.74,6779.28
South Africa,1971,17.29,2204.29
South Africa,1972,17.62,2347.19
South Africa,1973,17.58,2455.45
South Africa,1974,17.18,2574.55
South Africa,1975,17.15,2687.02
South Africa,1976,16.96,2815.3
South Africa,1977,17.66,2880.61
South Africa,1978,17.41,3018.13
South Africa,1979,17.79,3228.56
South Africa,1980,17.61,3410.96
South Africa,1981,17.12,3569.43
South Africa,1982,17.75,3644.82
South Africa,1983,18.2,3685.9
South Africa,1984,17.97,3920.87
South Africa,1985,18.06,3986.76
South Africa,1986,17.96,4039.07
South Africa,1987,18.1,3964.55
South Africa,1988,17.63,3994.24
South Africa,1989,17.41,3968.82
South Africa,1990,17.73,3911.67
South Africa,1991,17.75,3806.17
South Africa,1992,18.26,3701.47
South Africa,1993,18.2,3749.71
South Africa,1994,17.61,3814.23
South Africa,1995,17.87,3916.51
South Africa,1996,17.26,4450.89
South Africa,1997,17.62,4574.03
South Africa,1998,18.1,4388.89
South Africa,1999,18.55,4275.58
South Africa,2000,17.59,4399.39
South Africa,2001,17.87,4151.05
South Africa,2002,17.95,4385.28
South Africa,2003,18.26,4428.5
South Africa,2004,18.08,4470.38
South Africa,2005,18.22,4529.41
South Africa,2006,17.6,4626.31
South Africa,2007,17.99,4766.65
South Africa,2008,17.96,4592.63
South Africa,2009,17.89,4368.12
South Africa,2010,18.3,4492.78
South Africa,2011,17.55,4528.05
South Africa,2012,17.85,4340.37
South Africa,2013,17.33,4270.81
Spain,1971,13.09,1534.98
Spain,1972,12.81,1703.51
Spain,1973,13.42,1873.68
Spain,1974,13.32,2024.1
Spain,1975,13.37,2054.34
Spain,1976,13.44,2256.14
Spain,1977,13.55,2294.47
Spain,1978,13.72,2399.03
Spain,1979,13.83,2528.95
Spain,1980,13.6,2644.22
Spain,1981,14.27,2671.28
Spain,1982,14.2,2658.24
Spain,1983,14.19,2792.16
Spain,1984,13.37,2903.34
Spain,1985,14.13,2975.08
Spain,1986,13.88,3004.28
Spain,1987,14.46,3094.08
Spain,1988,14.16,3217.95
Spain,1989,15.05,3442.95
Spain,1990,14.76,3536.75
Spain,1991,14.01,3607.7
Spain,1992,13.96,3690.59
Spain,1993,13.5,3638.53
Spain,1994,14.65,3756.04
Spain,1995,15.07,3917.32
Spain,1996,14.15,4008.94
Spain,1997,15.11,4324.42
Spain,1998,14.55,4479.05
Spain,1999,14.37,4820.68
Spain,2000,14.47,5167.81
Spain,2001,14.62,5422.52
Spain,2002,14.65,5576.55
Spain,2003,15.0,5676.14
Spain,2004,14.4,5892.31
Spain,2005,14.3,6111.22
Spain,2006,15.11,6105.08
Spain,2007,14.24,6054.37
Spain,2008,14.23,6025.77
Spain,2009,14.97,5652.6
Spain,2010,14.25,5706.56
Spain,2011,15.32,5599.38
Spain,2012,14.58,5573.4
Spain,2013,14.86,5409.41
Sri Lanka,1971,26.84,57.66
Sri Lanka,1972,27.16,64.22
Sri Lanka,1973,27.46,66.48
Sri Lanka,1974,26.89,67.03
Sri Lanka,1975,26.97,70.96
Sri Lanka,1976,27.15,72.58
Sri Lanka,1977,27.24,74.54
Sri Lanka,1978,27.32,81.05
Sri Lanka,1979,27.56,89.12
Sri Lanka,1980,27.65,94.77
Sri Lanka,1981,27.34,100.51
Sri Lanka,1982,27.41,109.86
Sri Lanka,1983,27.83,115.17
Sri Lanka,1984,27.08,118.26
Sri Lanka,1985,27.35,128.15
Sri Lanka,1986,27.42,136.69
Sri Lanka,1987,27.84,137.29
Sri Lanka,1988,27.61,141.19
Sri Lanka,1989,27.29,138.37
Sri Lanka,1990,27.53,151.45
Sri Lanka,1991,27.56,157.68
Sri Lanka,1992,27.27,166.1
Sri Lanka,1993,27.37,182.54
Sri Lanka,1994,27.37,199.67
Sri Lanka,1995,27.59,215.75
Sri Lanka,1996,27.4,204.49
Sri Lanka,1997,27.66,229.82
Sri Lanka,1998,28.15,249.18
Sri Lanka,1999,27.36,263.03
Sri Lanka,2000,27.47,294.82
Sri Lanka,2001,27.66,290.82
Sri Lanka,2002,27.8,303.11
Sri Lanka,2003,27.8,326.26
Sri Lanka,2004,27.61,354.36
Sri Lanka,2005,27.72,400.1
Sri Lanka,2006,27.57,403.08
Sri Lanka,2007,27.56,420.32
Sri Lanka,2008,27.44,426.39
Sri Lanka,2009,27.75,425.12
Sri Lanka,2010,27.88,459.68
Sri Lanka,2011,27.67,502.14
Sri Lanka,2012,27.95,524.31
Sri Lanka,2013,28.18,525.72
Sudan,1971,26.76,31.97
Sudan,1972,27.3,33.51
Sudan,1973,27.6,39.38
Sudan,1974,26.84,45.09
Sudan,1975,27.02,46.08
Sudan,1976,27.45,46.42
Sudan,1977,26.86,47.11
Sudan,1978,27.16,48.61
Sudan,1979,27.69,47.27
Sudan,1980,27.68,42.1
Sudan,1981,27.31,38.61
Sudan,1982,27.11,39.55
Sudan,1983,27.04,37.21
Sudan,1984,27.57,50.14
Sudan,1985,27.41,54.05
Sudan,1986,27.24,60.24
Sudan,1987,27.71,61.39
Sudan,1988,27.39,54.71
Sudan,1989,26.73,51.89
Sudan,1990,27.64,60.78
Sudan,1991,27.52,58.92
Sudan,1992,26.88,59.46
Sudan,1993,27.68,57.3
Sudan,1994,27.26,59.2
Sudan,1995,27.5,58.44
Sudan,1996,27.75,59.17
Sudan,1997,27.69,55.57
Sudan,1998,27.8,54.1
Sudan,1999,27.72,80.09
Sudan,2000,27.46,82.51
Sudan,2001,27.73,69.32
Sudan,2002,27.91,81.36
Sudan,2003,27.85,86.27
Sudan,2004,27.89,87.2
Sudan,2005,28.03,102.98
Sudan,2006,27.73,114.59
Sudan,2007,27.65,123.24
Sudan,2008,27.84,134.07
Sudan,2009,28.35,153.82
Sudan,2010,28.65,179.34
Sudan,2011,27.81,195.18
Sudan,2012,27.87,217.35
Sudan,2013,28.57,220.28
Suriname,2000,26.59,2227.57
Suriname,2001,26.8,2306.14
Suriname,2002,26.9,2475.46
Suriname,2003,27.2,2399.86
Suriname,2004,27.15,2506.99
Suriname,2005,27.48,2675.22
Suriname,2006,27.05,2674.21
Suriname,2007,26.91,2680.2
Suriname,2008,26.92,2936.67
Suriname,2009,27.23,2931.55
Suriname,2010,27.41,2887.86
Suriname,2011,27.06,3214.73
Suriname,2012,27.19,3214.41
Suriname,2013,26.96,3523.38
Sweden,1971,2.58,7674.29
Sweden,1972,3.49,8131.93
Sweden,1973,3.02,8745.49
Sweden,1974,3.83,8786.45
Sweden,1975,4.06,9051.52
Sweden,1976,2.11,9751.55
Sweden,1977,2.32,9828.35
Sweden,1978,1.73,10143.43
Sweden,1979,1.89,10694.29
Sweden,1980,1.88,10703.41
Sweden,1981,1.73,11112.31
Sweden,1982,3.02,11440.24
Sweden,1983,3.27,12609.03
Sweden,1984,3.29,13692.98
Sweden,1985,0.77,14950.33
Sweden,1986,2.21,14858.37
Sweden,1987,1.36,15746.26
Sweden,1988,3.1,15895.83
Sweden,1989,4.41,15680.86
Sweden,1990,4.5,15836.03
Sweden,1991,3.46,15932.93
Sweden,1992,3.87,15544.41
Sweden,1993,2.94,15506.8
Sweden,1994,2.88,15290.62
Sweden,1995,3.07,15475.01
Sweden,1996,2.39,15434.23
Sweden,1997,3.73,15410.7
Sweden,1998,2.87,15522.13
Sweden,1999,3.54,15470.87
Sweden,2000,4.42,15681.62
Sweden,2001,3.14,16020.98
Sweden,2002,3.8,15709.43
Sweden,2003,3.73,15360.18
Sweden,2004,3.65,15420.97
Sweden,2005,4.0,15430.96
Sweden,2006,4.35,15262.59
Sweden,2007,4.08,15257.94
Sweden,2008,4.22,14869.35
Sweden,2009,3.5,14143.01
Sweden,2010,1.66,14934.33
Sweden,2011,4.52,14030.16
Sweden,2012,2.97,14289.6
Sweden,2013,4.2,13870.39
Switzerland,1971,7.26,4615.35
Switzerland,1972,6.9,4776.27
Switzerland,1973,6.96,5010.19
Switzerland,1974,7.47,5027.12
Switzerland,1975,7.45,4878.81
Switzerland,1976,7.36,5082.9
Switzerland,1977,7.38,5324.96
Switzerland,1978,6.6,5520.45
Switzerland,1979,7.09,5779.14
Switzerland,1980,6.54,5992.33
Switzerland,1981,7.13,6119.7
Switzerland,1982,7.8,6189.34
Switzerland,1983,7.79,6330.49
Switzerland,1984,6.82,6601.04
Switzerland,1985,6.88,6854.33
Switzerland,1986,7.15,6994.49
Switzerland,1987,7.14,7163.21
Switzerland,1988,7.92,7203.89
Switzerland,1989,8.14,7369.29
Switzerland,1990,8.26,7445.29
Switzerland,1991,7.41,7538.41
Switzerland,1992,8.06,7430.3
Switzerland,1993,7.62,7235.09
Switzerland,1994,8.82,7155.49
Switzerland,1995,7.75,7283.38
Switzerland,1996,6.97,7393.54
Switzerland,1997,8.21,7341.61
Switzerland,1998,7.96,7481.43
Switzerland,1999,7.9,7646.71
Switzerland,2000,8.56,7845.63
Switzerland,2001,7.98,7992.28
Switzerland,2002,8.48,8031.43
Switzerland,2003,8.67,8195.12
Switzerland,2004,7.85,8205.83
Switzerland,2005,7.57,8305.37
Switzerland,2006,8.34,8360.58
Switzerland,2007,8.55,8163.3
Switzerland,2008,8.11,8305.92
Switzerland,2009,8.3,8021.22
Switzerland,2010,7.23,8174.41
Switzerland,2011,8.85,7928.19
Switzerland,2012,8.16,7886.09
Switzerland,2013,8.18,7807.06
Tajikistan,1990,5.2,3275.46
Tajikistan,1991,4.49,3110.52
Tajikistan,1992,4.43,2909.02
Tajikistan,1993,4.14,2513.73
Tajikistan,1994,4.72,2468.3
Tajikistan,1995,4.81,2343.58
Tajikistan,1996,4.28,2256.11
Tajikistan,1997,5.45,1986.57
Tajikistan,1998,5.12,2042.29
Tajikistan,1999,5.43,2163.0
Tajikistan,2000,5.39,2142.04
Tajikistan,2001,5.72,2113.03
Tajikistan,2002,5.29,2102.95
Tajikistan,2003,4.89,2096.67
Tajikistan,2004,5.84,2116.1
Tajikistan,2005,5.18,2106.18
Tajikistan,2006,5.53,2096.94
Tajikistan,2007,5.44,2036.9
Tajikistan,2008,5.17,1916.55
Tajikistan,2009,5.1,1884.56
Tajikistan,2010,5.56,1869.77
Tajikistan,2011,5.35,1790.92
Tajikistan,2012,4.34,1743.0
Tajikistan,2013,6.56,1676.74
Tanzania,1971,21.97,30.09
Tanzania,1972,22.4,31.79
Tanzania,1973,22.44,33.26
Tanzania,1974,22.14,33.37
Tanzania,1975,22.28,33.67
Tanzania,1976,22.43,34.15
Tanzania,1977,22.59,34.03
Tanzania,1978,22.36,33.24
Tanzania,1979,22.4,35.51
Tanzania,1980,22.65,35.44
Tanzania,1981,22.48,36.4
Tanzania,1982,22.56,34.49
Tanzania,1983,23.12,32.69
Tanzania,1984,22.41,33.26
Tanzania,1985,22.37,34.87
Tanzania,1986,22.58,38.97
Tanzania,1987,23.09,39.25
Tanzania,1988,22.92,42.71
Tanzania,1989,22.31,45.1
Tanzania,1990,22.71,49.72
Tanzania,1991,22.69,53.1
Tanzania,1992,22.8,52.25
Tanzania,1993,22.69,47.74
Tanzania,1994,22.86,48.31
Tanzania,1995,23.01,55.96
Tanzania,1996,22.76,59.92
Tanzania,1997,22.95,54.77
Tanzania,1998,23.06,59.52
Tanzania,1999,22.65,55.05
Tanzania,2000,22.79,57.45
Tanzania,2001,22.75,61.08
Tanzania,2002,23.0,66.38
Tanzania,2003,23.28,66.32
Tanzania,2004,23.05,77.76
Tanzania,2005,23.72,77.61
Tanzania,2006,23.05,63.73
Tanzania,2007,22.93,79.75
Tanzania,2008,22.71,84.3
Tanzania,2009,23.15,70.98
Tanzania,2010,23.27,94.99
Tanzania,2011,23.07,85.94
Tanzania,2012,23.07,96.3
Tanzania,2013,22.77,98.67
Thailand,1971,25.67,124.1
Thailand,1972,26.4,144.79
Thailand,1973,26.44,166.83
Thailand,1974,26.01,171.4
Thailand,1975,26.16,190.23
Thailand,1976,25.96,214.15
Thailand,1977,26.37,242.14
Thailand,1978,26.5,271.33
Thailand,1979,26.83,288.92
Thailand,1980,26.81,300.98
Thailand,1981,26.21,309.31
Thailand,1982,26.19,330.96
Thailand,1983,26.47,359.83
Thailand,1984,26.13,391.97
Thailand,1985,26.27,417.37
Thailand,1986,26.15,447.15
Thailand,1987,26.65,497.05
Thailand,1988,26.4,553.44
Thailand,1989,26.32,631.34
Thailand,1990,26.59,726.64
Thailand,1991,26.65,808.08
Thailand,1992,26.29,907.06
Thailand,1993,26.3,1018.33
Thailand,1994,26.48,1111.35
Thailand,1995,26.53,1248.6
Thailand,1996,26.19,1378.2
Thailand,1997,26.64,1406.82
Thailand,1998,27.38,1355.55
Thailand,1999,26.22,1355.21
Thailand,2000,26.3,1445.46
Thailand,2001,26.68,1502.14
Thailand,2002,26.79,1613.7
Thailand,2003,26.65,1707.61
Thailand,2004,26.5,1818.4
Thailand,2005,26.83,1903.01
Thailand,2006,26.74,1989.93
Thailand,2007,26.64,2060.18
Thailand,2008,26.22,2080.51
Thailand,2009,26.65,2071.81
Thailand,2010,27.39,2271.45
Thailand,2011,26.25,2244.05
Thailand,2012,27.29,2396.94
Thailand,2013,27.86,2462.93
Togo,1971,26.77,61.75
Togo,1972,27.06,59.21
Togo,1973,27.56,53.54
Togo,1974,26.86,68.97
Togo,1975,26.71,71.32
Togo,1976,26.57,66.93
Togo,1977,27.19,101.5
Togo,1978,26.95,114.72
Togo,1979,27.28,73.16
Togo,1980,27.27,60.25
Togo,1981,27.23,64.6
Togo,1982,26.99,71.44
Togo,1983,27.47,64.93
Togo,1984,27.29,74.25
Togo,1985,27.17,75.53
Togo,1986,27.03,75.01
Togo,1987,27.92,79.27
Togo,1988,27.35,79.38
Togo,1989,27.07,84.23
Togo,1990,27.52,88.49
Togo,1991,27.06,82.2
Togo,1992,26.98,90.59
Togo,1993,27.24,69.14
Togo,1994,27.08,78.68
Togo,1995,27.31,99.54
Togo,1996,27.31,101.89
Togo,1997,27.23,103.21
Togo,1998,27.81,104.27
Togo,1999,27.28,111.14
Togo,2000,27.44,93.65
Togo,2001,27.41,97.37
Togo,2002,27.5,94.67
Togo,2003,27.67,101.27
Togo,2004,27.53,105.48
Togo,2005,27.77,107.5
Togo,2006,27.77,106.4
Togo,2007,27.86,100.21
Togo,2008,27.46,102.53
Togo,2009,27.71,121.28
Togo,2010,28.06,121.27
Togo,2011,27.77,131.73
Togo,2012,27.42,141.19
Togo,2013,27.72,141.28
Tunisia,1971,19.74,154.96
Tunisia,1972,19.75,174.06
Tunisia,1973,19.97,189.62
Tunisia,1974,19.67,202.38
Tunisia,1975,19.74,210.61
Tunisia,1976,19.33,233.39
Tunisia,1977,20.63,265.4
Tunisia,1978,19.78,293.05
Tunisia,1979,20.18,343.04
Tunisia,1980,19.5,390.23
Tunisia,1981,20.27,410.58
Tunisia,1982,20.51,399.42
Tunisia,1983,20.28,438.71
Tunisia,1984,19.83,451.98
Tunisia,1985,20.49,496.38
Tunisia,1986,20.28,518.14
Tunisia,1987,20.8,540.62
Tunisia,1988,20.93,570.84
Tunisia,1989,20.75,589.24
Tunisia,1990,20.93,616.82
Tunisia,1991,19.92,628.68
Tunisia,1992,20.03,662.99
Tunisia,1993,20.57,684.96
Tunisia,1994,21.27,736.84
Tunisia,1995,20.68,746.82
Tunisia,1996,20.53,757.54
Tunisia,1997,21.08,796.51
Tunisia,1998,20.76,837.33
Tunisia,1999,21.66,915.3
Tunisia,2000,21.14,958.22
Tunisia,2001,21.7,1014.49
Tunisia,2002,21.33,1042.54
Tunisia,2003,21.48,969.31
Tunisia,2004,20.95,1007.46
Tunisia,2005,20.85,1054.16
Tunisia,2006,21.31,1077.78
Tunisia,2007,21.15,1121.04
Tunisia,2008,21.2,1159.32
Tunisia,2009,21.09,1243.54
Tunisia,2010,21.61,1332.44
Tunisia,2011,20.99,1288.19
Tunisia,2012,21.48,1367.59
Tunisia,2013,21.89,1382.09
Turkmenistan,1990,15.93,2260.58
Turkmenistan,1991,15.52,2179.61
Turkmenistan,1992,15.04,1984.79
Turkmenistan,1993,14.74,2052.24
Turkmenistan,1994,15.36,1661.73
Turkmenistan,1995,16.52,1555.38
Turkmenistan,1996,15.33,1434.29
Turkmenistan,1997,16.34,1169.2
Turkmenistan,1998,16.16,1547.78
Turkmenistan,1999,16.38,1400.55
Turkmenistan,2000,16.4,1672.53
Turkmenistan,2001,16.57,1755.52
Turkmenistan,2002,16.38,1742.72
Turkmenistan,2003,15.64,1708.35
Turkmenistan,2004,16.66,1867.51
Turkmenistan,2005,16.58,1996.61
Turkmenistan,2006,16.51,2054.09
Turkmenistan,2007,16.3,2184.92
Turkmenistan,2008,15.86,2241.92
Turkmenistan,2009,16.36,2274.87
Turkmenistan,2010,17.04,2300.32
Turkmenistan,2011,15.79,2328.01
Turkmenistan,2012,15.86,2343.97
Turkmenistan,2013,18.61,2452.3
Ukraine,1990,9.4,4787.54
Ukraine,1991,8.3,4643.26
Ukraine,1992,8.38,4313.52
Ukraine,1993,7.46,3953.28
Ukraine,1994,8.81,3475.14
Ukraine,1995,8.71,3348.9
Ukraine,1996,7.55,3060.34
Ukraine,1997,7.6,2958.56
Ukraine,1998,8.46,2839.45
Ukraine,1999,9.51,2792.1
Ukraine,2000,9.32,2778.4
Ukraine,2001,8.94,2791.77
Ukraine,2002,9.38,2844.81
Ukraine,2003,8.22,2997.97
Ukraine,2004,8.85,3151.15
Ukraine,2005,8.92,3246.03
Ukraine,2006,8.45,3399.52
Ukraine,2007,10.06,3528.92
Ukraine,2008,9.56,3534.36
Ukraine,2009,9.43,3227.95
Ukraine,2010,9.45,3549.84
Ukraine,2011,8.79,3662.44
Ukraine,2012,9.29,3640.55
Ukraine,2013,10.91,3600.23
United Arab Emirates,1971,27.62,548.6
United Arab Emirates,1972,27.42,1108.65
United Arab Emirates,1973,27.67,1519.66
United Arab Emirates,1974,27.7,1782.68
United Arab Emirates,1975,27.61,2342.68
United Arab Emirates,1976,27.57,2938.89
United Arab Emirates,1977,28.57,3887.61
United Arab Emirates,1978,28.07,4347.82
United Arab Emirates,1979,28.1,5109.79
United Arab Emirates,1980,28.3,5783.75
United Arab Emirates,1981,28.13,6099.0
United Arab Emirates,1982,27.33,7098.48
United Arab Emirates,1983,27.37,7620.57
United Arab Emirates,1984,27.4,7819.12
United Arab Emirates,1985,27.72,8090.4
United Arab Emirates,1986,27.87,8113.99
United Arab Emirates,1987,28.09,8059.48
United Arab Emirates,1988,28.14,8196.92
United Arab Emirates,1989,27.59,7928.72
United Arab Emirates,1990,28.26,8179.88
United Arab Emirates,1991,27.7,7862.05
United Arab Emirates,1992,27.28,8036.46
United Arab Emirates,1993,28.07,8894.05
United Arab Emirates,1994,28.4,9274.27
United Arab Emirates,1995,27.99,9329.96
United Arab Emirates,1996,28.32,9388.45
United Arab Emirates,1997,28.12,9655.44
United Arab Emirates,1998,29.29,10817.39
United Arab Emirates,1999,29.3,11700.17
United Arab Emirates,2000,28.88,11782.92
United Arab Emirates,2001,29.01,11601.54
United Arab Emirates,2002,29.06,11969.77
United Arab Emirates,2003,29.23,12036.89
United Arab Emirates,2004,29.1,12184.29
United Arab Emirates,2005,28.99,13161.2
United Arab Emirates,2006,28.98,12651.07
United Arab Emirates,2007,29.16,12029.55
United Arab Emirates,2008,28.68,11457.09
United Arab Emirates,2009,29.13,10518.8
United Arab Emirates,2010,29.67,10695.29
United Arab Emirates,2011,29.21,10732.8
United Arab Emirates,2012,29.43,10988.96
United Arab Emirates,2013,29.37,11271.11
United Kingdom,1971,9.05,4254.65
United Kingdom,1972,8.49,4372.64
United Kingdom,1973,8.79,4671.72
United Kingdom,1974,8.76,4534.25
United Kingdom,1975,9.08,4492.42
United Kingdom,1976,9.09,4587.69
United Kingdom,1977,8.65,4668.42
United Kingdom,1978,8.55,4729.85
United Kingdom,1979,8.05,4922.92
United Kingdom,1980,8.64,4683.93
United Kingdom,1981,8.49,4572.95
United Kingdom,1982,9.01,4480.34
United Kingdom,1983,9.09,4549.18
United Kingdom,1984,8.91,4597.74
United Kingdom,1985,8.17,4826.71
United Kingdom,1986,8.0,4953.65
United Kingdom,1987,8.33,5082.44
United Kingdom,1988,8.97,5232.74
United Kingdom,1989,9.59,5295.22
United Kingdom,1990,9.67,5356.58
United Kingdom,1991,8.83,5451.68
United Kingdom,1992,9.02,5452.39
United Kingdom,1993,8.67,5491.99
United Kingdom,1994,9.15,5380.26
United Kingdom,1995,9.42,5575.81
United Kingdom,1996,8.55,5815.83
United Kingdom,1997,9.64,5831.96
United Kingdom,1998,9.46,5908.87
United Kingdom,1999,9.66,6007.48
United Kingdom,2000,9.38,6114.53
United Kingdom,2001,9.14,6141.98
United Kingdom,2002,9.68,6142.75
United Kingdom,2003,9.74,6174.55
United Kingdom,2004,9.74,6138.75
United Kingdom,2005,9.66,6270.98
United Kingdom,2006,9.94,6200.55
United Kingdom,2007,9.8,6102.4
United Kingdom,2008,9.35,6015.73
United Kingdom,2009,9.45,5643.13
United Kingdom,2010,8.39,5700.86
United Kingdom,2011,9.91,5471.93
United Kingdom,2012,9.04,5449.26
United Kingdom,2013,9.0,5409.63
United States,1971,8.44,7517.3
United States,1972,8.43,8076.41
United States,1973,8.93,8573.19
United States,1974,8.82,8449.93
United States,1975,8.43,8522.39
United States,1976,8.65,8968.78
United States,1977,9.27,9337.72
United States,1978,8.75,9560.55
United States,1979,8.57,9700.7
United States,1980,9.14,9862.37
United States,1981,9.72,9976.69
United States,1982,8.54,9544.46
United States,1983,8.91,9742.01
United States,1984,8.81,10282.37
United States,1985,8.59,10414.21
United States,1986,9.56,10424.43
United States,1987,9.63,10886.86
United States,1988,9.28,11298.33
United States,1989,8.87,11531.93
United States,1990,9.52,11713.33
United States,1991,9.49,12134.17
United States,1992,9.06,12014.96
United States,1993,8.87,12261.52
United States,1994,9.27,12455.16
United States,1995,9.33,12659.61
United States,1996,8.75,12854.3
United States,1997,9.17,12889.83
United States,1998,10.14,13154.76
United States,1999,9.57,13281.87
United States,2000,9.65,13671.05
United States,2001,9.79,13046.61
United States,2002,9.82,13296.18
United States,2003,9.76,13307.49
United States,2004,9.67,13388.59
United States,2005,9.89,13704.58
United States,2006,9.97,13583.27
United States,2007,9.84,13657.45
United States,2008,8.95,13663.43
United States,2009,9.14,12913.71
United States,2010,9.51,13394.9
United States,2011,9.55,13245.88
United States,2012,10.26,12964.19
United States,2013,11.3,13004.02
Uruguay,1971,17.12,735.34
Uruguay,1972,17.51,695.83
Uruguay,1973,17.28,701.49
Uruguay,1974,17.28,695.62
Uruguay,1975,17.57,751.06
Uruguay,1976,16.9,792.43
Uruguay,1977,18.0,831.46
Uruguay,1978,17.48,902.99
Uruguay,1979,17.38,919.84
Uruguay,1980,18.06,990.94
Uruguay,1981,17.85,1026.27
Uruguay,1982,18.02,1029.14
Uruguay,1983,17.4,1031.98
Uruguay,1984,17.23,1035.82
Uruguay,1985,18.01,1067.05
Uruguay,1986,18.11,1102.52
Uruguay,1987,17.66,1156.01
Uruguay,1988,17.11,1249.61
Uruguay,1989,18.1,1202.75
Uruguay,1990,17.7,1241.57
Uruguay,1991,17.97,1343.38
Uruguay,1992,17.53,1366.32
Uruguay,1993,17.65,1457.56
Uruguay,1994,18.13,1491.88
Uruguay,1995,17.66,1586.2
Uruguay,1996,17.87,1646.61
Uruguay,1997,18.37,1745.42
Uruguay,1998,17.52,1823.04
Uruguay,1999,17.61,1932.32
Uruguay,2000,17.76,2048.16
Uruguay,2001,18.57,2016.09
Uruguay,2002,17.99,2010.62
Uruguay,2003,17.6,1893.24
Uruguay,2004,18.06,1934.94
Uruguay,2005,18.19,2004.42
Uruguay,2006,18.24,2226.78
Uruguay,2007,17.52,2421.4
Uruguay,2008,18.28,2597.62
Uruguay,2009,17.87,2674.52
Uruguay,2010,17.92,2821.35
Uruguay,2011,17.82,2828.38
Uruguay,2012,18.51,2953.31
Uruguay,2013,16.75,3008.71
Uzbekistan,1990,13.46,2383.23
Uzbekistan,1991,13.03,2324.98
Uzbekistan,1992,12.86,2128.35
Uzbekistan,1993,11.96,2018.23
Uzbekistan,1994,12.64,1924.48
Uzbekistan,1995,13.97,1844.2
Uzbekistan,1996,12.45,1827.77
Uzbekistan,1997,13.85,1815.82
Uzbekistan,1998,13.24,1779.88
Uzbekistan,1999,13.91,1745.95
Uzbekistan,2000,13.94,1780.46
