Week,Bitcoin searches worldwide,BTC-USD,,,,,,,
04/09/2022,15,19988.78906,,,,,,,
11/09/2022,14,21770.14844,,,,,,,
18/09/2022,14,19418.57227,,,,,,,
25/09/2022,14,18803.90039,,,,,,,
02/10/2022,11,19044.06836,,,,,,,
09/10/2022,14,19446.41602,,,,,,,
16/10/2022,11,19268.5625,,,,,,,
23/10/2022,13,19567.76953,,,,,,,
30/10/2022,12,20633.69531,,,,,,,
06/11/2022,30,20924.62109,,,,,,,
13/11/2022,23,16352.02832,,,,,,,
20/11/2022,19,16291.22363,,,,,,,
,,,,,,,,,
,,,,,,,,,
